rank1,rank2,rank3,wr_prose,wr_bullet,wr_header,ordering
header,bullet,prose,0.23529411764705882,0.35294117647058826,0.9117647058823529,header > bullet > prose
header,bullet,prose,0.21341463414634146,0.3780487804878049,0.9085365853658537,header > bullet > prose
header,bullet,prose,0.23214285714285715,0.36904761904761907,0.8988095238095238,header > bullet > prose
header,bullet,prose,0.21621621621621623,0.35135135135135137,0.9324324324324325,header > bullet > prose
header,bullet,prose,0.19078947368421054,0.3815789473684211,0.9276315789473685,header > bullet > prose
header,bullet,prose,0.25,0.3310810810810811,0.918918918918919,header > bullet > prose
header,bullet,prose,0.24324324324324326,0.34459459459459457,0.9121621621621622,header > bullet > prose
header,bullet,prose,0.24324324324324326,0.3310810810810811,0.9256756756756757,header > bullet > prose
header,bullet,prose,0.23125,0.34375,0.925,header > bullet > prose
header,bullet,prose,0.2236842105263158,0.3684210526315789,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.21951219512195122,0.3780487804878049,0.9024390243902439,header > bullet > prose
header,bullet,prose,0.1794871794871795,0.391025641025641,0.9294871794871795,header > bullet > prose
header,bullet,prose,0.24404761904761904,0.3392857142857143,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.25,0.3333333333333333,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.27564102564102566,0.32051282051282054,0.9038461538461539,header > bullet > prose
header,bullet,prose,0.2215909090909091,0.3693181818181818,0.9090909090909091,header > bullet > prose
header,bullet,prose,0.2564102564102564,0.30128205128205127,0.9423076923076923,header > bullet > prose
header,bullet,prose,0.23780487804878048,0.3475609756097561,0.9146341463414634,header > bullet > prose
header,bullet,prose,0.22142857142857142,0.36428571428571427,0.9142857142857143,header > bullet > prose
header,bullet,prose,0.24324324324324326,0.34459459459459457,0.9121621621621622,header > bullet > prose
header,bullet,prose,0.23170731707317074,0.34146341463414637,0.926829268292683,header > bullet > prose
header,bullet,prose,0.21621621621621623,0.38513513513513514,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.24375,0.3375,0.91875,header > bullet > prose
header,bullet,prose,0.225,0.3625,0.9125,header > bullet > prose
header,bullet,prose,0.2635135135135135,0.33783783783783783,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.2375,0.3375,0.925,header > bullet > prose
header,bullet,prose,0.24358974358974358,0.3333333333333333,0.9230769230769231,header > bullet > prose
header,bullet,prose,0.25625,0.35,0.89375,header > bullet > prose
header,bullet,prose,0.1875,0.4027777777777778,0.9097222222222222,header > bullet > prose
header,bullet,prose,0.2426470588235294,0.375,0.8823529411764706,header > bullet > prose
header,bullet,prose,0.21710526315789475,0.375,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.22023809523809523,0.3630952380952381,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.21153846153846154,0.3717948717948718,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.2375,0.36875,0.89375,header > bullet > prose
header,bullet,prose,0.19594594594594594,0.3716216216216216,0.9324324324324325,header > bullet > prose
header,bullet,prose,0.25595238095238093,0.35119047619047616,0.8928571428571429,header > bullet > prose
header,bullet,prose,0.25,0.3618421052631579,0.8881578947368421,header > bullet > prose
header,bullet,prose,0.21153846153846154,0.38461538461538464,0.9038461538461539,header > bullet > prose
header,bullet,prose,0.25,0.35625,0.89375,header > bullet > prose
header,bullet,prose,0.21153846153846154,0.38461538461538464,0.9038461538461539,header > bullet > prose
header,bullet,prose,0.25625,0.33125,0.9125,header > bullet > prose
header,bullet,prose,0.23026315789473684,0.3223684210526316,0.9473684210526315,header > bullet > prose
header,bullet,prose,0.23809523809523808,0.34523809523809523,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.20121951219512196,0.3597560975609756,0.9390243902439024,header > bullet > prose
header,bullet,prose,0.24285714285714285,0.35,0.9071428571428571,header > bullet > prose
header,bullet,prose,0.24305555555555555,0.3472222222222222,0.9097222222222222,header > bullet > prose
header,bullet,prose,0.21621621621621623,0.3581081081081081,0.9256756756756757,header > bullet > prose
header,bullet,prose,0.22972972972972974,0.3716216216216216,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.22297297297297297,0.35135135135135137,0.9256756756756757,header > bullet > prose
header,bullet,prose,0.22674418604651161,0.36046511627906974,0.9127906976744186,header > bullet > prose
header,bullet,prose,0.22794117647058823,0.35294117647058826,0.9191176470588235,header > bullet > prose
header,bullet,prose,0.24358974358974358,0.358974358974359,0.8974358974358975,header > bullet > prose
header,bullet,prose,0.25,0.3472222222222222,0.9027777777777778,header > bullet > prose
header,bullet,prose,0.25,0.3355263157894737,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.19696969696969696,0.3712121212121212,0.9318181818181818,header > bullet > prose
header,bullet,prose,0.19594594594594594,0.3918918918918919,0.9121621621621622,header > bullet > prose
header,bullet,prose,0.23684210526315788,0.3618421052631579,0.9013157894736842,header > bullet > prose
header,bullet,prose,0.25,0.3273809523809524,0.9226190476190477,header > bullet > prose
header,bullet,prose,0.25,0.3333333333333333,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.25675675675675674,0.34459459459459457,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.2565789473684211,0.3355263157894737,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.24324324324324326,0.3581081081081081,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.2565789473684211,0.34210526315789475,0.9013157894736842,header > bullet > prose
header,bullet,prose,0.2734375,0.3203125,0.90625,header > bullet > prose
header,bullet,prose,0.22093023255813954,0.36627906976744184,0.9127906976744186,header > bullet > prose
header,bullet,prose,0.2702702702702703,0.3108108108108108,0.918918918918919,header > bullet > prose
header,bullet,prose,0.21710526315789475,0.375,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.22972972972972974,0.35135135135135137,0.918918918918919,header > bullet > prose
header,bullet,prose,0.25,0.3357142857142857,0.9142857142857143,header > bullet > prose
header,bullet,prose,0.20512820512820512,0.391025641025641,0.9038461538461539,header > bullet > prose
header,bullet,prose,0.25675675675675674,0.32432432432432434,0.918918918918919,header > bullet > prose
header,bullet,prose,0.23684210526315788,0.34210526315789475,0.9210526315789473,header > bullet > prose
header,bullet,prose,0.22142857142857142,0.36428571428571427,0.9142857142857143,header > bullet > prose
header,bullet,prose,0.19736842105263158,0.375,0.9276315789473685,header > bullet > prose
header,bullet,prose,0.24342105263157895,0.34868421052631576,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.24358974358974358,0.36538461538461536,0.8910256410256411,header > bullet > prose
header,bullet,prose,0.2236842105263158,0.35526315789473684,0.9210526315789473,header > bullet > prose
header,bullet,prose,0.26973684210526316,0.3026315789473684,0.9276315789473685,header > bullet > prose
header,bullet,prose,0.21153846153846154,0.358974358974359,0.9294871794871795,header > bullet > prose
header,bullet,prose,0.22435897435897437,0.3717948717948718,0.9038461538461539,header > bullet > prose
header,bullet,prose,0.21428571428571427,0.3869047619047619,0.8988095238095238,header > bullet > prose
header,bullet,prose,0.23026315789473684,0.3881578947368421,0.881578947368421,header > bullet > prose
header,bullet,prose,0.25675675675675674,0.30405405405405406,0.9391891891891891,header > bullet > prose
header,bullet,prose,0.23255813953488372,0.3430232558139535,0.9244186046511628,header > bullet > prose
header,bullet,prose,0.24342105263157895,0.32894736842105265,0.9276315789473685,header > bullet > prose
header,bullet,prose,0.23026315789473684,0.35526315789473684,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.2565789473684211,0.34210526315789475,0.9013157894736842,header > bullet > prose
header,bullet,prose,0.21052631578947367,0.375,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.19736842105263158,0.3618421052631579,0.9407894736842105,header > bullet > prose
header,bullet,prose,0.20945945945945946,0.3783783783783784,0.9121621621621622,header > bullet > prose
header,bullet,prose,0.23717948717948717,0.32051282051282054,0.9423076923076923,header > bullet > prose
header,bullet,prose,0.20714285714285716,0.37857142857142856,0.9142857142857143,header > bullet > prose
header,bullet,prose,0.24375,0.33125,0.925,header > bullet > prose
header,bullet,prose,0.22916666666666666,0.3472222222222222,0.9236111111111112,header > bullet > prose
header,bullet,prose,0.24305555555555555,0.3333333333333333,0.9236111111111112,header > bullet > prose
header,bullet,prose,0.23026315789473684,0.34210526315789475,0.9276315789473685,header > bullet > prose
header,bullet,prose,0.2642857142857143,0.3,0.9357142857142857,header > bullet > prose
header,bullet,prose,0.2565789473684211,0.34210526315789475,0.9013157894736842,header > bullet > prose
header,bullet,prose,0.25,0.3355263157894737,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.25,0.36875,0.88125,header > bullet > prose
header,bullet,prose,0.23717948717948717,0.3269230769230769,0.9358974358974359,header > bullet > prose
header,bullet,prose,0.21153846153846154,0.358974358974359,0.9294871794871795,header > bullet > prose
header,bullet,prose,0.1875,0.4166666666666667,0.8958333333333334,header > bullet > prose
header,bullet,prose,0.24305555555555555,0.3472222222222222,0.9097222222222222,header > bullet > prose
header,bullet,prose,0.23780487804878048,0.35365853658536583,0.9085365853658537,header > bullet > prose
header,bullet,prose,0.23026315789473684,0.35526315789473684,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.2571428571428571,0.3357142857142857,0.9071428571428571,header > bullet > prose
header,bullet,prose,0.23125,0.3375,0.93125,header > bullet > prose
header,bullet,prose,0.25,0.34146341463414637,0.9085365853658537,header > bullet > prose
header,bullet,prose,0.25,0.33783783783783783,0.9121621621621622,header > bullet > prose
header,bullet,prose,0.21052631578947367,0.375,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.20833333333333334,0.4027777777777778,0.8888888888888888,header > bullet > prose
header,bullet,prose,0.21875,0.35625,0.925,header > bullet > prose
header,bullet,prose,0.23684210526315788,0.34868421052631576,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.21052631578947367,0.39473684210526316,0.8947368421052632,header > bullet > prose
header,bullet,prose,0.22794117647058823,0.35294117647058826,0.9191176470588235,header > bullet > prose
header,bullet,prose,0.25625,0.34375,0.9,header > bullet > prose
header,bullet,prose,0.25735294117647056,0.3382352941176471,0.9044117647058824,header > bullet > prose
header,bullet,prose,0.20394736842105263,0.35526315789473684,0.9407894736842105,header > bullet > prose
header,bullet,prose,0.23684210526315788,0.3355263157894737,0.9276315789473685,header > bullet > prose
header,bullet,prose,0.23717948717948717,0.3717948717948718,0.8910256410256411,header > bullet > prose
header,bullet,prose,0.21794871794871795,0.358974358974359,0.9230769230769231,header > bullet > prose
header,bullet,prose,0.20588235294117646,0.36764705882352944,0.9264705882352942,header > bullet > prose
header,bullet,prose,0.20512820512820512,0.38461538461538464,0.9102564102564102,header > bullet > prose
header,bullet,prose,0.21341463414634146,0.3719512195121951,0.9146341463414634,header > bullet > prose
header,bullet,prose,0.25,0.34210526315789475,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.25,0.35119047619047616,0.8988095238095238,header > bullet > prose
header,bullet,prose,0.21153846153846154,0.3717948717948718,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.25,0.34285714285714286,0.9071428571428571,header > bullet > prose
header,bullet,prose,0.24305555555555555,0.3333333333333333,0.9236111111111112,header > bullet > prose
header,bullet,prose,0.23648648648648649,0.36486486486486486,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.2421875,0.359375,0.8984375,header > bullet > prose
header,bullet,prose,0.2564102564102564,0.3269230769230769,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.20121951219512196,0.3719512195121951,0.926829268292683,header > bullet > prose
